,Cittadinanza,Continente Politico,M,F,MF,Paesi
0,ROMANIA,EUROPA COMUNITARIA,38448,52511,90959,45.843193 24.986855
1,FILIPPINE,ASIA,17205,24480,41685,15.8564 121.131104
2,BANGLADESH,ASIA,23559,7211,30770,24.2887 90.0438
3,REP. POP. CINESE,ASIA,9354,9367,18721,39.390897 -99.066067
4,UCRAINA,EUROPA NON COMUNITARIA,2921,12149,15070,49.024101 31.400038
5,PERU',AMERICA DEL SUD,5236,8209,13445,-9.175354 -74.361778
6,POLONIA,EUROPA COMUNITARIA,4047,8313,12360,52.121216 19.408318
7,EGITTO,AFRICA,8091,3071,11162,26.317301 29.0548
8,INDIA,ASIA,5626,4765,10391,27.0858 80.314003
9,SRI LANKA,ASIA,5138,4522,9660,7.3434 80.719398
10,MOLDOVA,EUROPA NON COMUNITARIA,3002,5550,8552,47.20573 28.471676
11,ECUADOR,AMERICA DEL SUD,3235,4947,8182,-1.454042 -78.36792
12,ALBANIA,EUROPA NON COMUNITARIA,3662,3488,7150,42.651242 -73.755418
13,MAROCCO,AFRICA,2881,2336,5217,30.0348 -8.1155
14,NIGERIA,AFRICA,2514,1927,4441,8.7006 8.5172
15,SPAGNA,EUROPA COMUNITARIA,1640,2683,4323,40.93 -3.4
16,FRANCIA,EUROPA COMUNITARIA,1500,2350,3850,46.623974 2.462247
17,BRASILE,AMERICA DEL SUD,1063,2650,3713,-10.861639 -53.104038
18,ERITREA,AFRICA,1711,1172,2883,15.3316 38.923599
19,PAKISTAN,ASIA,2247,474,2721,31.474501 70.770103
20,COLOMBIA,AMERICA DEL SUD,1153,1453,2606,3.904655 -73.076401
21,REGNO UNITO,EUROPA COMUNITARIA,1123,1475,2598,54.0 -2.0
22,GERMANIA,EUROPA COMUNITARIA,837,1549,2386,51.090614 10.382207
23,ETIOPIA,AFRICA,881,1493,2374,8.3739 39.0588
24,TUNISIA,AFRICA,1428,892,2320,33.962601 9.5798
25,STATI UNITI D'AMERICA,AMERICA DEL NORD,916,1253,2169,39.390897 -99.066067
26,SENEGAL,AFRICA,1751,415,2166,15.2533 -14.1605
27,BULGARIA,EUROPA COMUNITARIA,517,1626,2143,42.760147 25.241814
28,BOSNIA-ERZEGOVINA,EUROPA NON COMUNITARIA,1196,1132,2092,44.165581 17.791399
29,FEDERAZIONE RUSSA,EUROPA NON COMUNITARIA,398,1644,2042,65.067703 116.8564
30,AFGHANISTAN,ASIA,1931,82,2013,33.513199 65.664803
31,REP. ISLAMICA DELL'IRAN,ASIA,972,829,1801,48.87974 7.15614
32,MALI,AFRICA,1609,49,1658,16.819201 -3.6522
33,REP. DI MACEDONIA,EUROPA NON COMUNITARIA,1001,704,1469,40.79821 22.41334
34,CUBA,AMERICA CENTRALE,440,1005,1445,21.610159 -78.928322
35,REP. DI CAPO VERDE,AFRICA,392,984,1376,42.24451 11.68499
36,REP. DOMINICANA,AMERICA CENTRALE,434,810,1244,42.140835 -80.036064
37,COSTA D'AVORIO,AFRICA,1023,180,1203,7.6869 -5.6958
39,SOMALIA,AFRICA,769,361,1130,32.638481 -83.426574
40,GEORGIA,ASIA,176,929,1105,36.652302 138.192093
41,GIAPPONE,ASIA,268,780,1048,23.93034 -102.510521
42,MESSICO,AMERICA CENTRALE,441,595,1036,-16.71007 -64.665314
43,BOLIVIA,AMERICA DEL SUD,349,607,956,38.989273 35.43446
44,TURCHIA,EUROPA NON COMUNITARIA,690,220,910,39.687378 -7.963023
45,PORTOGALLO,EUROPA COMUNITARIA,359,532,891,-35.189907 -65.143982
46,ARGENTINA,AMERICA DEL SUD,366,478,844,36.775348 3.060066
47,ALGERIA,AFRICA,523,307,830,39.478577 22.591492
48,GRECIA,EUROPA COMUNITARIA,391,370,761,13.4752 -15.309
49,GAMBIA,AFRICA,723,16,739,43.871162 20.603973
50,KOSOVO,EUROPA NON COMUNITARIA,541,427,732,28.046301 16.366501
51,LIBIA,AFRICA,431,289,720,45.133049 16.397858
52,CROAZIA,EUROPA NON COMUNITARIA,297,412,709,32.885899 43.609299
53,IRAQ,ASIA,557,120,677,10.4559 -11.1874
54,GUINEA,AFRICA,516,153,669,35.880001 38.364201
55,SIRIA,ASIA,438,226,664,39.390897 -99.066067
56,REP. DEMOC. DEL CONGO,AFRICA,329,324,653,13.724752 -88.870277
57,EL SALVADOR,AMERICA CENTRALE,220,431,651,6.3804 12.8155
58,CAMEROUN,AFRICA,343,296,639,52.270329 5.614606
59,PAESI BASSI,EUROPA COMUNITARIA,251,384,635,53.542892 28.05398
60,BIELORUSSIA,EUROPA NON COMUNITARIA,157,448,605,-0.7366 113.485001
61,INDONESIA,ASIA,167,427,594,44.96956 19.60526
62,REP. DI SERBIA,EUROPA NON COMUNITARIA,381,455,591,7.159467 -66.245689
63,VENEZUELA,AMERICA DEL SUD,241,348,589,45.10126 8.28313
64,REP. DI COREA,ASIA,317,359,573,8.3446 -1.0442
65,GHANA,AFRICA,415,147,562,50.641949 4.659539
66,BELGIO,EUROPA COMUNITARIA,239,315,554,53.177616 -8.14161
67,IRLANDA,EUROPA COMUNITARIA,279,275,554,47.586853 14.141437
68,AUSTRIA,EUROPA COMUNITARIA,141,346,487,33.9417 35.923901
69,LIBANO,ASIA,323,149,472,13.178 30.231001
70,SUDAN,AFRICA,383,78,461,46.801807 8.235422
71,SVIZZERA,EUROPA NON COMUNITARIA,188,241,429,1.7563 37.636902
72,KENYA,AFRICA,135,289,424,14.818892 -86.600739
73,HONDURAS,AMERICA CENTRALE,98,319,417,-18.891399 46.482101
74,MADAGASCAR,AFRICA,131,282,413,62.835373 16.742456
75,SVEZIA,EUROPA COMUNITARIA,101,303,404,12.3616 -1.5377
76,BURKINA FASO,AFRICA,267,131,398,-35.288689 -71.231911
77,CILE,AMERICA DEL SUD,166,223,389,28.1553 84.196503
78,NEPAL,ASIA,258,130,388,15.0086 100.955704
79,THAILANDIA,ASIA,53,322,375,47.166401 19.413937
80,UNGHERIA,EUROPA COMUNITARIA,100,262,362,48.708149 19.493172
81,SLOVACCHIA,EUROPA COMUNITARIA,105,255,323,31.182882 34.811615
82,ISRAELE,ASIA,166,153,319,56.511018 -105.908203
83,CANADA',AMERICA DEL NORD,151,152,303,16.7603 106.656601
84,VIETNAM,ASIA,137,164,301,8.148099 1.034999
85,TOGO,AFRICA,197,97,294,-25.296141 -57.630913
86,PARAGUAY,AMERICA DEL SUD,68,226,294,42.140835 -80.036064
87,REP. DEL CONGO,AFRICA,156,136,292,8.3199 -11.2615
88,SIERRA LEONE,AFRICA,125,111,236,12.839902 -85.033455
89,NICARAGUA,AMERICA CENTRALE,73,155,228,43.00322 17.47831
90,REP. CECA,EUROPA COMUNITARIA,54,210,227,56.032433 9.317246
91,DANIMARCA,EUROPA COMUNITARIA,61,160,221,55.335629 23.908211
92,LITUANIA,EUROPA COMUNITARIA,54,163,217,-5.6088 34.5294
93,TANZANIA,AFRICA,106,107,213,-25.0 134.0
95,AUSTRALIA,OCEANIA,88,117,205,10.7757 2.6937
96,GUATEMALA,AMERICA CENTRALE,51,151,202,-20.2833 57.549999
97,BENIN,AFRICA,115,75,190,32.363876 37.794193
98,MAURITIUS,AFRICA,65,117,182,64.524025 26.287458
99,GIORDANIA,ASIA,119,63,182,-12.2971 17.2801
100,FINLANDIA,EUROPA COMUNITARIA,39,143,182,42.700001 19.1
101,ANGOLA,AFRICA,107,72,179,32.0 35.25
102,MONTENEGRO,EUROPA NON COMUNITARIA,193,223,171,35.902241 14.413739
103,PALESTINA,ASIA,133,36,169,20.544201 -10.7954
104,MALTA,EUROPA COMUNITARIA,69,100,169,1.4542 32.777599
105,MAURITANIA,AFRICA,137,30,167,61.299999 9.255
106,UGANDA,AFRICA,76,45,121,-1.9519 30.059601
107,NORVEGIA,EUROPA NON COMUNITARIA,41,76,117,21.894199 96.0317
108,RUANDA,AFRICA,52,61,113,46.120007 14.82387
109,MYANMAR,ASIA,28,84,112,56.854328 24.931015
110,SLOVENIA,EUROPA COMUNITARIA,43,68,111,4.536307 -75.672375
111,LETTONIA,EUROPA COMUNITARIA,14,86,100,50.5093 64.914497
112,ARMENIA,ASIA,36,61,97,-3.3949 29.6717
113,KAZAKHSTAN,ASIA,16,79,95,43.13892 12.38289
114,BURUNDI,AFRICA,48,37,85,-17.836901 35.421398
115,REP. DI SAN MARINO,EUROPA NON COMUNITARIA,52,31,83,-32.804592 -56.028786
116,MOZAMBICO,AFRICA,37,45,82,9.970512 -84.196793
117,URUGUAY,AMERICA DEL SUD,40,40,80,12.0673 -14.941
118,COSTA RICA,AMERICA CENTRALE,20,57,77,18.1989 7.6835
119,GUINEA BISSAU,AFRICA,67,9,76,18.932878 -72.671188
120,NIGER,AFRICA,60,16,76,-0.8403 12.5313
122,HAITI,AMERICA CENTRALE,41,32,73,41.224899 75.829803
123,GABON,AFRICA,35,35,70,2.5961 112.883904
124,LIBERIA,AFRICA,47,21,68,-13.1159 27.446899
125,KIRGHIZISTAN,ASIA,12,54,66,-28.741699 24.759501
126,MALAYSIA,ASIA,34,30,64,42.036598 63.279099
127,ZAMBIA,AFRICA,26,28,54,14.6742 45.5858
128,SUD AFRICA,AFRICA,24,29,53,-4.5833 55.666698
129,UZBEKISTAN,ASIA,12,41,53,-19.4471 29.815201
130,YEMEN,ASIA,24,23,47,40.237228 48.962463
131,SEYCHELLES,AFRICA,11,34,45,58.684872 25.840622
132,ZIMBABWE,AFRICA,18,27,45,-43.9674 170.489395
133,AZERBAIGIAN,ASIA,25,19,44,14.0228 18.520599
134,ESTONIA,EUROPA COMUNITARIA,4,38,42,24.639299 46.686401
135,NUOVA ZELANDA,OCEANIA,15,27,42,1.290453 103.852038
136,CIAD,AFRICA,27,9,36,37.69728 29.64185
137,ARABIA SAUDITA,ASIA,22,14,36,29.3295 47.683102
138,SINGAPORE,ASIA,8,28,36,43.00322 17.47831
139,REP. DEL SUD SUDAN,AFRICA,17,8,25,23.534 120.559402
140,KUWAIT,ASIA,17,8,25,8.970743 -79.534454
141,REP. CENTRAFRICANA,AFRICA,14,10,24,35.05386 33.239326
142,TAIWAN,ASIA,6,18,24,49.611277 6.129799
143,PANAMA,AMERICA CENTRALE,4,17,21,64.990005 -18.59289
144,CIPRO,EUROPA COMUNITARIA,10,11,21,-13.2942 34.419399
145,LUSSEMBURGO,EUROPA COMUNITARIA,9,11,20,1.4777 10.375
147,ISLANDA,EUROPA NON COMUNITARIA,6,13,19,-8.81557 13.24212
148,MALAWI,AFRICA,7,11,18,10.418848 -61.293797
149,GUINEA EQUATORIALE,AFRICA,10,7,17,45.8876 101.624496
150,REP. POP. DEM. DI COREA,ASIA,54,66,17,-23.816299 24.010799
151,TIMOR ORIENTALE,ASIA,5,10,15,12.4425 104.733704
152,TRINIDAD E TOBAGO,AMERICA DEL SUD,5,8,13,0.2306 6.5853
153,MONGOLIA,ASIA,1,9,10,-13.5945 -172.611298
154,BOTSWANA,AFRICA,4,5,9,-29.4498 27.994301
155,CAMBOGIA,ASIA,1,8,9,-17.850599 177.776901
156,SAO TOME' E PRINCIPE,AFRICA,2,5,7,18.156088 -77.310661
157,SAMOA,OCEANIA,2,5,7,41.90417 12.44967
158,LESOTHO,AFRICA,3,3,6,18.3468 103.781601
159,FIGI,OCEANIA,3,3,6,37.9426 58.384998
160,GIAMAICA,AMERICA CENTRALE,2,3,5,-22.563801 17.0804
161,STATO CITTA' DEL VATICANO,EUROPA NON COMUNITARIA,5,0,5,17.07753 -61.800068
162,LAOS,ASIA,0,4,4,24.695328 -78.050987
163,TURKMENISTAN,ASIA,0,4,4,13.894094 -60.965061
164,NAMIBIA,AFRICA,1,2,3,4.799234 -58.981483
165,ANTIGUA E BARBUDA,AMERICA CENTRALE,1,2,3,-15.4351 166.792206
166,BAHAMAS,AMERICA CENTRALE,1,2,3,-11.6474 43.297699
167,SANTA LUCIA,AMERICA CENTRALE,0,3,3,11.9159 42.419399
168,GUYANA,AMERICA DEL SUD,0,3,3,-26.493601 31.297701
169,VANUATU,OCEANIA,0,3,3,13.167446 -59.555202
170,COMORE,AFRICA,2,0,2,15.427289 -61.356377
171,GIBUTI,AFRICA,1,1,2,37.18302 -3.602192
172,SWAZILAND,AFRICA,0,2,2,43.731142 7.419758
173,BARBADOS,AMERICA CENTRALE,1,1,2,36.99887 15.26293
174,DOMINICA,AMERICA CENTRALE,1,1,2,-21.149 -175.319595
175,GRENADA,AMERICA CENTRALE,0,2,2,38.431499 70.903503
176,MONACO,EUROPA NON COMUNITARIA,1,1,2,17.25 -88.166667
177,PAPUASIA NUOVA GUINEA,OCEANIA,0,2,2,26.066799 50.511398
178,TONGA,OCEANIA,0,2,2,27.339199 90.4375
179,TAGIKISTAN,AFRICA,1,0,1,-0.6022 73.084198
180,BELIZE,AMERICA CENTRALE,1,0,1,20.495001 55.592899
181,BAHREIN,ASIA,0,1,1,25.349701 51.011902
182,BHUTAN,ASIA,1,0,1,-2.8497 -171.623795
183,MALDIVE,ASIA,1,0,1,45.9435 9.0985
184,OMAN,ASIA,1,0,1,-16.60521 -49.3263
185,QATAR,ASIA,1,0,1,51.42901 -0.75326
186,KIRIBATI,OCEANIA,1,0,1,-2.8497 -171.623795
187,SCONOSCIUTO,SCONOSCIUTO,51,45,96,
188,APOLIDE,APOLIDE,59,37,96,
189,TOTALE,0,178499,198718,377217,
